,codecommune,nomcommune
0,01001,L'ABERGEMENT-CLÉMENCIAT
1,01002,L'ABERGEMENT-DE-VAREY
2,01004,AMBÉRIEU-EN-BUGEY
3,01005,AMBÉRIEUX-EN-DOMBES
4,01006,AMBLÉON
5,01007,AMBRONAY
6,01008,AMBUTRIX
7,01009,ANDERT-ET-CONDON
8,01010,ANGLEFORT
9,01011,APREMONT
10,01012,ARANC
11,01013,ARANDAS
12,01014,ARBENT
13,01015,ARBOYS EN BUGEY
14,01016,ARBIGNY
15,01017,ARGIS
16,01019,ARMIX
17,01021,ARS-SUR-FORMANS
18,01022,ARTEMARE
19,01023,ASNIÈRES-SUR-SAÔNE
20,01024,ATTIGNAT
21,01025,BÂGÉ-DOMMARTIN
22,01026,BÂGÉ-LE-CHÂTEL
23,01027,BALAN
24,01028,BANEINS
25,01029,BEAUPONT
26,01030,BEAUREGARD
27,01031,BELLIGNAT
28,01032,BÉLIGNEUX
29,01033,VALSERHÔNE
30,01034,BELLEY
31,01035,BELLEYDOUX
32,01036,VALROMEY-SUR-SERAN
33,01037,BÉNONCES
34,01038,BÉNY
35,01039,BÉON
36,01040,BÉRÉZIAT
37,01041,BETTANT
38,01042,BEY
39,01043,BEYNOST
40,01044,BILLIAT
41,01045,BIRIEUX
42,01046,BIZIAT
43,01047,BLYES
44,01049,LA BOISSE
45,01050,BOISSEY
46,01051,BOLOZON
47,01052,BOULIGNEUX
48,01053,BOURG-EN-BRESSE
49,01054,BOURG-SAINT-CHRISTOPHE
50,01056,BOYEUX-SAINT-JÉRÔME
51,01057,BOZ
52,01058,BRÉGNIER-CORDON
53,01060,BRÉNOD
54,01061,BRENS
55,01062,BRESSOLLES
56,01063,BRION
57,01064,BRIORD
58,01065,BUELLAS
59,01066,LA BURBANCHE
60,01067,CEIGNES
61,01068,CERDON
62,01069,CERTINES
63,01071,CESSY
64,01072,CEYZÉRIAT
65,01073,CEYZÉRIEU
66,01074,CHALAMONT
67,01075,CHALEINS
68,01076,CHALEY
69,01077,CHALLES-LA-MONTAGNE
70,01078,CHALLEX
71,01079,CHAMPAGNE-EN-VALROMEY
72,01080,CHAMPDOR-CORCELLES
73,01081,CHAMPFROMIER
74,01082,CHANAY
75,01083,CHANEINS
76,01084,CHANOZ-CHÂTENAY
77,01085,LA CHAPELLE-DU-CHÂTELARD
78,01087,CHARIX
79,01088,CHARNOZ-SUR-AIN
80,01089,CHÂTEAU-GAILLARD
81,01090,CHÂTENAY
82,01092,CHÂTILLON-LA-PALUD
83,01093,CHÂTILLON-SUR-CHALARONNE
84,01094,CHAVANNES-SUR-REYSSOUZE
85,01095,NIVIGNE ET SURAN
86,01096,CHAVEYRIAT
87,01098,CHAZEY-BONS
88,01099,CHAZEY-SUR-AIN
89,01100,CHEIGNIEU-LA-BALME
90,01101,CHEVILLARD
91,01102,CHEVROUX
92,01103,CHEVRY
93,01104,CHÉZERY-FORENS
94,01105,CIVRIEUX
95,01106,CIZE
96,01107,CLEYZIEU
97,01108,COLIGNY
98,01109,COLLONGES
99,01110,COLOMIEU
100,01111,CONAND
101,01112,CONDAMINE
102,01113,CONDEISSIAT
103,01114,CONFORT
104,01115,CONFRANÃON
105,01116,CONTREVOZ
106,01117,CONZIEU
107,01118,CORBONOD
108,01121,CORLIER
109,01123,CORMORANCHE-SUR-SAÔNE
110,01124,CORMOZ
111,01125,CORVEISSIAT
112,01127,COURMANGOUX
113,01128,COURTES
114,01129,CRANS
115,01130,BRESSE VALLONS
116,01133,CRESSIN-ROCHEFORT
117,01134,CROTTET
118,01135,CROZET
119,01136,CRUZILLES-LÈS-MÉPILLAT
120,01138,CULOZ
121,01139,CURCIAT-DONGALON
122,01140,CURTAFOND
123,01141,CUZIEU
124,01142,DAGNEUX
125,01143,DIVONNE-LES-BAINS
126,01145,DOMPIERRE-SUR-VEYLE
127,01146,DOMPIERRE-SUR-CHALARONNE
128,01147,DOMSURE
129,01148,DORTAN
130,01149,DOUVRES
131,01150,DROM
132,01151,DRUILLAT
133,01152,ECHALLON
134,01153,ECHENEVEX
135,01155,EVOSGES
136,01156,FARAMANS
137,01157,FAREINS
138,01158,FARGES
139,01159,FEILLENS
140,01160,FERNEY-VOLTAIRE
141,01162,FLAXIEU
142,01163,FOISSIAT
143,01165,FRANCHELEINS
144,01166,FRANS
145,01167,GARNERANS
146,01169,GENOUILLEUX
147,01170,BEARD-GÉOVREISSIAT
148,01171,GÉOVREISSET
149,01173,GEX
150,01174,GIRON
151,01175,GORREVOD
152,01177,GRAND-CORENT
153,01179,GRIÈGES
154,01180,GRILLY
155,01181,GROISSIAT
156,01183,GUÉREINS
157,01184,HAUTECOURT-ROMANÈCHE
158,01185,PLATEAU D'HAUTEVILLE
159,01187,HAUT VALROMEY
160,01188,ILLIAT
161,01189,INJOUX-GÉNISSIAT
162,01190,INNIMOND
163,01191,IZENAVE
164,01192,IZERNORE
165,01193,IZIEU
166,01194,JASSANS-RIOTTIER
167,01195,JASSERON
168,01196,JAYAT
169,01197,JOURNANS
170,01198,JOYEUX
171,01199,JUJURIEUX
172,01200,LABALME
173,01202,LAGNIEU
174,01203,LAIZ
175,01204,LE POIZAT-LALLEYRIAT
176,01206,LANTENAY
177,01207,LAPEYROUSE
178,01208,LAVOURS
179,01209,LÉAZ
180,01210,LÉLEX
181,01211,LENT
182,01212,LESCHEROUX
183,01213,LEYMENT
184,01214,LEYSSARD
185,01215,SURJOUX-LHOPITAL
186,01216,LHUIS
187,01219,LOMPNAS
188,01224,LOYETTES
189,01225,LURCY
190,01227,MAGNIEU
191,01228,MAILLAT
192,01229,MALAFRETAZ
193,01230,MANTENAY-MONTLIN
194,01231,MANZIAT
195,01232,MARBOZ
196,01233,MARCHAMP
197,01234,MARIGNIEU
198,01235,MARLIEUX
199,01236,MARSONNAS
200,01237,MARTIGNAT
201,01238,MASSIEUX
202,01239,MASSIGNIEU-DE-RIVES
203,01240,MATAFELON-GRANGES
204,01241,MEILLONNAS
205,01242,MÉRIGNAT
206,01243,MESSIMY-SUR-SAÔNE
207,01244,MEXIMIEUX
208,01245,BOHAS-MEYRIAT-RIGNAT
209,01246,MÉZÉRIAT
210,01247,MIJOUX
211,01248,MIONNAY
212,01249,MIRIBEL
213,01250,MISÉRIEUX
214,01252,MOGNENEINS
215,01254,MONTAGNAT
216,01255,MONTAGNIEU
217,01257,MONTANGES
218,01258,MONTCEAUX
219,01259,MONTCET
220,01260,LE MONTELLIER
221,01261,MONTHIEUX
222,01262,MONTLUEL
223,01263,MONTMERLE-SUR-SAÔNE
224,01264,MONTRACOL
225,01265,MONTRÉAL-LA-CLUSE
226,01266,MONTREVEL-EN-BRESSE
227,01267,NURIEUX-VOLOGNAT
228,01268,MURS-ET-GÉLIGNIEUX
229,01269,NANTUA
230,01272,NEUVILLE-LES-DAMES
231,01273,NEUVILLE-SUR-AIN
232,01274,LES NEYROLLES
233,01275,NEYRON
234,01276,NIÉVROZ
235,01277,NIVOLLET-MONTGRIFFON
236,01279,ONCIEU
237,01280,ORDONNAZ
238,01281,ORNEX
239,01282,OUTRIAZ
240,01283,OYONNAX
241,01284,OZAN
242,01285,PARCIEUX
243,01286,PARVES ET NATTAGES
244,01288,PÉRON
245,01289,PÉRONNAS
246,01290,PÉROUGES
247,01291,PERREX
248,01293,PEYRIAT
249,01294,PEYRIEU
250,01295,PEYZIEUX-SUR-SAÔNE
251,01296,PIRAJOUX
252,01297,PIZAY
253,01298,PLAGNE
254,01299,LE PLANTAY
255,01301,POLLIAT
256,01302,POLLIEU
257,01303,PONCIN
258,01304,PONT-D'AIN
259,01305,PONT-DE-VAUX
260,01306,PONT-DE-VEYLE
261,01307,PORT
262,01308,POUGNY
263,01309,POUILLAT
264,01310,PRÉMEYZEL
265,01311,PRÉMILLIEU
266,01313,PRÉVESSIN-MOÃNS
267,01314,PRIAY
268,01317,RAMASSE
269,01318,RANCÉ
270,01319,RELEVANT
271,01320,REPLONGES
272,01321,REVONNAS
273,01322,REYRIEUX
274,01323,REYSSOUZE
275,01325,RIGNIEUX-LE-FRANC
276,01328,ROMANS
277,01329,ROSSILLON
278,01330,RUFFIEU
279,01331,SAINT-ALBAN
280,01332,SAINT-ANDRÉ-DE-BÂGÉ
281,01333,SAINT-ANDRÉ-DE-CORCY
282,01334,SAINT-ANDRÉ-D'HUIRIAT
283,01335,SAINT-ANDRÉ-LE-BOUCHOUX
284,01336,SAINT-ANDRÉ-SUR-VIEUX-JONC
285,01337,SAINT-BÉNIGNE
286,01338,GROSLÉE-SAINT-BENOÃT
287,01339,SAINT-BERNARD
288,01342,SAINTE-CROIX
289,01343,SAINT-CYR-SUR-MENTHON
290,01344,SAINT-DENIS-LÈS-BOURG
291,01345,SAINT-DENIS-EN-BUGEY
292,01346,SAINT-DIDIER-D'AUSSIAT
293,01347,SAINT-DIDIER-DE-FORMANS
294,01348,SAINT-DIDIER-SUR-CHALARONNE
295,01349,SAINT-ELOI
296,01350,SAINT-ETIENNE-DU-BOIS
297,01351,SAINT-ETIENNE-SUR-CHALARONNE
298,01352,SAINT-ETIENNE-SUR-REYSSOUZE
299,01353,SAINTE-EUPHÉMIE
300,01354,SAINT-GENIS-POUILLY
301,01355,SAINT-GENIS-SUR-MENTHON
302,01356,SAINT-GEORGES-SUR-RENON
303,01357,SAINT-GERMAIN-DE-JOUX
304,01358,SAINT-GERMAIN-LES-PAROISSES
305,01359,SAINT-GERMAIN-SUR-RENON
306,01360,SAINT-JEAN-DE-GONVILLE
307,01361,SAINT-JEAN-DE-NIOST
308,01362,SAINT-JEAN-DE-THURIGNEUX
309,01363,SAINT-JEAN-LE-VIEUX
310,01364,SAINT-JEAN-SUR-REYSSOUZE
311,01365,SAINT-JEAN-SUR-VEYLE
312,01366,SAINTE-JULIE
313,01367,SAINT-JULIEN-SUR-REYSSOUZE
314,01368,SAINT-JULIEN-SUR-VEYLE
315,01369,SAINT-JUST
316,01370,SAINT-LAURENT-SUR-SAÔNE
317,01371,SAINT-MARCEL
318,01372,SAINT-MARTIN-DE-BAVEL
319,01373,SAINT-MARTIN-DU-FRÊNE
320,01374,SAINT-MARTIN-DU-MONT
321,01375,SAINT-MARTIN-LE-CHÂTEL
322,01376,SAINT-MAURICE-DE-BEYNOST
323,01378,SAINT-MAURICE-DE-GOURDANS
324,01379,SAINT-MAURICE-DE-RÉMENS
325,01380,SAINT-NIZIER-LE-BOUCHOUX
326,01381,SAINT-NIZIER-LE-DÉSERT
327,01382,SAINTE-OLIVE
328,01383,SAINT-PAUL-DE-VARAX
329,01384,SAINT-RAMBERT-EN-BUGEY
330,01385,SAINT-RÉMY
331,01386,SAINT-SORLIN-EN-BUGEY
332,01387,SAINT-SULPICE
333,01388,SAINT-TRIVIER-DE-COURTES
334,01389,SAINT-TRIVIER-SUR-MOIGNANS
335,01390,SAINT-VULBAS
336,01391,SALAVRE
337,01392,SAMOGNAT
338,01393,SANDRANS
339,01396,SAULT-BRÉNAZ
340,01397,SAUVERNY
341,01398,SAVIGNEUX
342,01399,SÉGNY
343,01400,SEILLONNAZ
344,01401,SERGY
345,01402,SERMOYER
346,01403,SERRIÈRES-DE-BRIORD
347,01404,SERRIÈRES-SUR-AIN
348,01405,SERVAS
349,01406,SERVIGNAT
350,01407,SEYSSEL
351,01408,SIMANDRE-SUR-SURAN
352,01410,SONTHONNAX-LA-MONTAGNE
353,01411,SOUCLIN
354,01412,SULIGNAT
355,01415,TALISSIEU
356,01416,TENAY
357,01418,THIL
358,01419,THOIRY
359,01420,THOISSEY
360,01421,TORCIEU
361,01422,TOSSIAT
362,01423,TOUSSIEUX
363,01424,TRAMOYES
364,01425,LA TRANCLIÈRE
365,01426,VAL-REVERMONT
366,01427,TRÉVOUX
367,01428,VALEINS
368,01429,VANDEINS
369,01430,VARAMBON
370,01431,VAUX-EN-BUGEY
371,01432,VERJON
372,01433,VERNOUX
373,01434,VERSAILLEUX
374,01435,VERSONNEX
375,01436,VESANCY
376,01437,VESCOURS
377,01439,VÉSINES
378,01441,VIEU-D'IZENAVE
379,01443,VILLARS-LES-DOMBES
380,01444,VILLEBOIS
381,01445,VILLEMOTIER
382,01446,VILLENEUVE
383,01447,VILLEREVERSURE
384,01448,VILLES
385,01449,VILLETTE-SUR-AIN
386,01450,VILLIEU-LOYES-MOLLON
387,01451,VIRIAT
388,01452,VIRIEU-LE-GRAND
389,01453,ARVIERE-EN-VALROMEY
390,01454,VIRIGNIN
391,01456,VONGNES
392,01457,VONNAS
393,02001,ABBÉCOURT
394,02002,ACHERY
395,02003,ACY
396,02004,AGNICOURT-ET-SÉCHELLES
397,02005,AGUILCOURT
398,02006,AISONVILLE-ET-BERNOVILLE
399,02007,AIZELLES
400,02008,AIZY-JOUY
401,02009,ALAINCOURT
402,02010,ALLEMANT
403,02011,AMBLENY
404,02012,AMBRIEF
405,02013,AMIFONTAINE
406,02014,AMIGNY-ROUY
407,02015,ANCIENVILLE
408,02016,ANDELAIN
409,02017,ANGUILCOURT-LE-SART
410,02018,ANIZY-LE-GRAND
411,02019,ANNOIS
412,02020,ANY-MARTIN-RIEUX
413,02021,ARCHON
414,02022,ARCY-SAINTE-RESTITUE
415,02023,ARMENTIÈRES-SUR-OURCQ
416,02024,ARRANCY
417,02025,ARTEMPS
418,02027,ASSIS-SUR-SERRE
419,02028,ATHIES-SOUS-LAON
420,02029,ATTILLY
421,02030,AUBENCHEUL-AUX-BOIS
422,02031,AUBENTON
423,02032,AUBIGNY-AUX-KAISNES
424,02033,AUBIGNY-EN-LAONNOIS
425,02034,AUDIGNICOURT
426,02035,AUDIGNY
427,02036,AUGY
428,02037,AULNOIS-SOUS-LAON
429,02038,LES AUTELS
430,02039,AUTREMENCOURT
431,02040,AUTREPPES
432,02041,AUTREVILLE
433,02042,AZY-SUR-MARNE
434,02043,BAGNEUX
435,02044,BANCIGNY
436,02046,BARENTON-BUGNY
437,02047,BARENTON-CEL
438,02048,BARENTON-SUR-SERRE
439,02049,BARISIS-AUX-BOIS
440,02050,BARZY-EN-THIÉRACHE
441,02051,BARZY-SUR-MARNE
442,02052,BASSOLES-AULERS
443,02053,VALLÉES EN CHAMPAGNE
444,02054,BAZOCHES-ET-SAINT-THIBAUT
445,02055,BEAUMÉ
446,02056,BEAUMONT-EN-BEINE
447,02057,BEAUREVOIR
448,02058,BEAURIEUX
449,02059,BEAUTOR
450,02060,BEAUVOIS-EN-VERMANDOIS
451,02061,BECQUIGNY
452,02062,BELLEAU
453,02063,BELLENGLISE
454,02064,BELLEU
455,02065,BELLICOURT
456,02066,BENAY
457,02067,BERGUES-SUR-SAMBRE
458,02068,BERLANCOURT
459,02069,BERLISE
460,02070,BERNOT
461,02071,BERNY-RIVIÈRE
462,02072,BERRIEUX
463,02073,BERRY-AU-BAC
464,02074,BERTAUCOURT-EPOURDON
465,02075,BERTHENICOURT
466,02076,BERTRICOURT
467,02077,BERZY-LE-SEC
468,02079,BESMONT
469,02080,BESNY-ET-LOIZY
470,02081,BÉTHANCOURT-EN-VAUX
471,02082,BEUGNEUX
472,02083,BEUVARDES
473,02084,BÉZU-LE-GUÉRY
474,02085,BÉZU-SAINT-GERMAIN
475,02086,BICHANCOURT
476,02087,BIEUXY
477,02088,BIÈVRES
478,02089,BILLY-SUR-AISNE
479,02090,BILLY-SUR-OURCQ
480,02091,BLANZY-LÈS-FISMES
481,02094,BLESMES
482,02095,BOHAIN-EN-VERMANDOIS
483,02096,BOIS-LÈS-PARGNY
484,02097,BONCOURT
485,02098,BONNEIL
486,02099,BONNESVALYN
487,02100,BONY
488,02101,BOSMONT-SUR-SERRE
489,02102,BOUCONVILLE-VAUCLAIR
490,02103,BOUÉ
491,02104,BOUFFIGNEREUX
492,02105,BOURESCHES
493,02106,BOURG-ET-COMIN
494,02107,BOURGUIGNON-SOUS-COUCY
495,02108,BOURGUIGNON-SOUS-MONTBAVIN
496,02109,LA BOUTEILLE
497,02110,BRAINE
498,02111,BRANCOURT-EN-LAONNOIS
499,02112,BRANCOURT-LE-GRAND
500,02114,BRASLES
501,02115,BRAYE-EN-LAONNOIS
502,02116,BRAYE-EN-THIÉRACHE
503,02117,BRAY-SAINT-CHRISTOPHE
504,02118,BRAYE
505,02119,BRÉCY
506,02120,BRENELLE
507,02121,BRENY
508,02122,BRIE
509,02123,BRISSAY-CHOIGNY
510,02124,BRISSY-HAMÉGICOURT
511,02125,BRUMETZ
512,02126,BRUNEHAMEL
513,02127,BRUYÈRES-SUR-FÈRE
514,02128,BRUYÈRES-ET-MONTBÉRAULT
515,02129,BRUYS
516,02130,BUCILLY
517,02131,BUCY-LE-LONG
518,02132,BUCY-LÈS-CERNY
519,02133,BUCY-LÈS-PIERREPONT
520,02134,BUIRE
521,02135,BUIRONFOSSE
522,02136,BURELLES
523,02137,BUSSIARES
524,02138,BUZANCY
525,02139,CAILLOUÃL-CRÉPIGNY
526,02140,CAMELIN
527,02141,LA CAPELLE
528,02142,CASTRES
529,02143,LE CATELET
530,02144,CAULAINCOURT
531,02145,CAUMONT
532,02146,CELLES-LÈS-CONDÉ
533,02148,CELLES-SUR-AISNE
534,02149,CERIZY
535,02150,CERNY-EN-LAONNOIS
536,02151,CERNY-LÈS-BUCY
537,02152,CERSEUIL
538,02153,CESSIÈRES-SUZY
539,02154,CHACRISE
540,02155,CHAILLEVOIS
541,02156,CHALANDRY
542,02157,CHAMBRY
543,02158,CHAMOUILLE
544,02159,CHAMPS
545,02160,CHAOURSE
546,02162,LA CHAPELLE-SUR-CHÉZY
547,02163,CHARLY-SUR-MARNE
548,02164,LE CHARMEL
549,02165,CHARMES
550,02166,CHARTÈVES
551,02167,CHASSEMY
552,02168,CHÂTEAU-THIERRY
553,02169,CHÂTILLON-LÈS-SONS
554,02170,CHÂTILLON-SUR-OISE
555,02171,CHAUDARDES
556,02172,CHAUDUN
557,02173,CHAUNY
558,02174,CHAVIGNON
559,02175,CHAVIGNY
560,02176,CHAVONNE
561,02177,CHÉRÊT
562,02178,CHERMIZY-AILLES
563,02179,CHÉRY-CHARTREUVE
564,02180,CHÉRY-LÈS-POUILLY
565,02181,CHÉRY-LÈS-ROZOY
566,02182,CHEVENNES
567,02183,CHEVREGNY
568,02184,CHEVRESIS-MONCEAU
569,02185,CHÉZY-EN-ORXOIS
570,02186,CHÉZY-SUR-MARNE
571,02187,CHIERRY
572,02188,CHIGNY
573,02189,CHIVRES-EN-LAONNOIS
574,02190,CHIVRES-VAL
575,02191,CHIVY-LÈS-ETOUVELLES
576,02192,CHOUY
577,02193,CIERGES
578,02194,CILLY
579,02195,CIRY-SALSOGNE
580,02196,CLACY-ET-THIERRET
581,02197,CLAIRFONTAINE
582,02198,CLAMECY
583,02199,CLASTRES
584,02200,CLERMONT-LES-FERMES
585,02201,COEUVRES-ET-VALSERY
586,02203,COINCY
587,02204,COINGT
588,02205,COLLIGIS-CRANDELAIN
589,02206,COLONFAY
590,02207,COMMENCHON
591,02208,CONCEVREUX
592,02209,CONDÉ-EN-BRIE
593,02210,CONDÉ-SUR-AISNE
594,02211,CONDÉ-SUR-SUIPPE
595,02212,CONDREN
596,02213,CONNIGIS
597,02214,CONTESCOURT
598,02215,CORBENY
599,02216,CORCY
600,02217,COUCY-LE-CHÂTEAU-AUFFRIQUE
601,02218,COUCY-LÈS-EPPES
602,02219,COUCY-LA-VILLE
603,02220,COULONGES-COHAN
604,02221,COUPRU
605,02222,COURBES
606,02223,COURBOIN
607,02224,COURCELLES-SUR-VESLE
608,02225,COURCHAMPS
609,02226,COURMELLES
610,02227,COURMONT
611,02228,COURTEMONT-VARENNES
612,02229,COURTRIZY-ET-FUSSIGNY
613,02230,COUVRELLES
614,02231,COUVRON-ET-AUMENCOURT
615,02232,COYOLLES
616,02233,CRAMAILLE
617,02234,CRAONNE
618,02235,CRAONNELLE
619,02236,CRÉCY-AU-MONT
620,02237,CRÉCY-SUR-SERRE
621,02238,CRÉPY
622,02239,CRÉZANCY
623,02240,CROIX-FONSOMME
624,02241,LA CROIX-SUR-OURCQ
625,02242,CROUTTES-SUR-MARNE
626,02243,CROUY
627,02244,CRUPILLY
628,02245,CUFFIES
629,02246,CUGNY
630,02248,CUIRIEUX
631,02249,CUIRY-HOUSSE
632,02250,CUIRY-LÈS-CHAUDARDES
633,02251,CUIRY-LÈS-IVIERS
634,02252,CUISSY-ET-GENY
635,02253,CUISY-EN-ALMONT
636,02254,CUTRY
637,02255,CYS-LA-COMMUNE
638,02256,DAGNY-LAMBERCY
639,02257,DALLON
640,02258,DAMMARD
641,02259,DAMPLEUX
642,02260,DANIZY
643,02261,DERCY
644,02262,DEUILLET
645,02263,DHUIZEL
646,02264,DIZY-LE-GROS
647,02265,DOHIS
648,02266,DOLIGNON
649,02267,DOMMIERS
650,02268,DOMPTIN
651,02269,DORENGT
652,02270,DOUCHY
653,02271,DRAVEGNY
654,02272,DROIZY
655,02273,DURY
656,02274,EBOULEAU
657,02275,EFFRY
658,02276,ENGLANCOURT
659,02277,EPAGNY
660,02278,EPARCY
661,02279,EPAUX-BÉZU
662,02280,EPIEDS
663,02281,L'EPINE-AUX-BOIS
664,02282,EPPES
665,02283,ERLON
666,02284,ERLOY
667,02286,ESQUÉHÉRIES
668,02287,ESSIGNY-LE-GRAND
669,02288,ESSIGNY-LE-PETIT
670,02289,ESSISES
671,02290,ESSÔMES-SUR-MARNE
