COMMUNE_RESID,circo
01001,01004
01002,01005
01004,01005
01005,01004
01006,01003
01007,01005
01008,01002
01009,01003
01010,01003
01011,01005
01012,01005
01013,01005
01014,01005
01015,01003
01016,01001
01017,01005
01019,01005
01021,01002
01022,01005
01023,01004
01024,01001
01025,01004
01026,01004
01027,01002
01028,01004
01029,01001
01030,01002
01031,01005
01032,01002
01033,01003
01034,01003
01035,01005
01036,01005
01037,01005
01038,01001
01039,01005
01040,01001
01041,01005
01042,01004
01043,01002
01044,01003
01045,01004
01046,01004
01047,01002
01049,01002
01050,01001
01051,01005
01052,01004
01053,01001
01053,01004
01054,01002
01056,01005
01057,01001
01058,01003
01060,01005
01061,01003
01062,01002
01063,01005
01064,01005
01065,01001
01066,01005
01067,01005
01068,01005
01069,01001
01071,01003
01072,01001
01073,01005
01074,01004
01075,01004
01076,01005
01077,01005
01078,01003
01079,01005
01080,01005
01081,01003
01082,01003
01083,01004
01084,01004
01085,01004
01087,01005
01088,01002
01089,01005
01090,01004
01092,01004
01093,01004
01094,01001
01095,01001
01096,01004
01098,01003
01098,01005
01099,01002
01100,01005
01101,01005
01102,01001
01103,01003
01104,01003
01105,01002
01106,01001
01107,01005
01108,01001
01109,01003
01110,01003
01111,01005
01112,01005
01113,01004
01114,01003
01115,01001
01116,01005
01117,01003
01118,01003
01121,01005
01123,01004
01124,01001
01125,01001
01127,01001
01128,01001
01129,01004
01130,01001
01133,01003
01134,01004
01135,01003
01136,01004
01138,01003
01139,01001
01140,01001
01141,01005
01142,01002
01143,01003
01145,01001
01146,01004
01147,01001
01148,01005
01149,01005
01150,01001
01151,01001
01152,01005
01153,01003
01155,01005
01156,01002
01157,01004
01158,01003
01159,01004
01160,01003
01162,01005
01163,01001
01165,01004
01166,01002
01167,01004
01169,01004
01170,01005
01171,01005
01173,01003
01174,01003
01175,01001
01177,01001
01179,01004
01180,01003
01181,01005
01183,01004
01184,01001
01185,01005
01187,01005
01188,01004
01189,01003
01190,01005
01191,01005
01192,01005
01193,01003
01194,01002
01195,01001
01196,01001
01197,01001
01198,01002
01199,01005
01200,01005
01202,01002
01203,01004
01204,01005
01206,01005
01207,01004
01208,01003
01209,01003
01210,01003
01211,01004
01212,01001
01213,01002
01214,01005
01215,01003
01216,01005
01219,01005
01224,01002
01225,01004
01227,01003
01228,01005
01229,01001
01230,01001
01231,01004
01232,01001
01233,01005
01234,01005
01235,01004
01236,01001
01237,01005
01238,01002
01239,01003
01240,01005
01241,01001
01242,01005
01243,01004
01244,01002
01245,01001
01246,01004
01247,01003
01248,01002
01249,01002
01250,01002
01252,01004
01254,01004
01255,01005
01257,01003
01258,01004
01259,01001
01260,01002
01261,01004
01262,01002
01263,01004
01264,01004
01265,01005
01266,01001
01267,01005
01268,01003
01269,01005
01272,01004
01273,01001
01274,01005
01275,01002
01276,01002
01277,01005
01279,01005
01280,01005
01281,01003
01282,01005
01283,01005
01284,01001
01285,01002
01286,01003
01288,01003
01289,01004
01290,01002
01291,01004
01293,01005
01294,01003
01295,01004
01296,01001
01297,01002
01298,01003
01299,01004
01301,01001
01302,01003
01303,01005
01304,01001
01305,01001
01306,01004
01307,01005
01308,01003
01309,01001
01310,01003
01311,01005
01313,01003
01314,01001
01317,01001
01318,01002
01319,01004
01320,01004
01321,01001
01322,01002
01323,01001
01325,01002
01328,01004
01329,01005
01330,01005
01331,01005
01332,01004
01333,01002
01334,01004
01335,01004
01336,01004
01337,01001
01338,01005
01339,01002
01342,01002
01343,01004
01344,01001
01345,01005
01346,01001
01347,01002
01348,01004
01349,01002
01350,01001
01351,01004
01352,01001
01353,01002
01354,01003
01355,01004
01356,01004
01357,01003
01358,01003
01359,01004
01360,01003
01361,01002
01362,01002
01363,01005
01364,01001
01365,01004
01366,01002
01367,01001
01368,01004
01369,01004
01370,01004
01371,01004
01372,01005
01373,01005
01374,01001
01375,01001
01376,01002
01378,01002
01379,01005
01380,01001
01381,01004
01382,01004
01383,01004
01384,01005
01385,01004
01386,01002
01387,01001
01388,01001
01389,01004
01390,01002
01391,01001
01392,01005
01393,01004
01396,01002
01397,01003
01398,01004
01399,01003
01400,01005
01401,01003
01402,01001
01403,01005
01404,01005
01405,01004
01406,01001
