codecommune,feature,annee,raw,lag,rank,delta,pct_change
01001,agesexcommunes/age,1960,35.389,,0.4955,,
01001,agesexcommunes/agef,1960,35.5671,,0.3981,,
01001,agesexcommunes/ageh,1960,35.2082,,0.6116,,
01001,agesexcommunes/perage,1790,0.5365,,0.4912,,
01001,agesexcommunes/perprop014,1790,0.5859,,0.5071,,
01001,agesexcommunes/perprop60p,1790,0.6219,,0.4461,,
01001,agesexcommunes/perpropf,1790,0.2782,,0.5169,,
01001,agesexcommunes/pop,1960,399.0,,0.551,,
01001,agesexcommunes/popf,1960,201.0,,0.5545,,
01001,agesexcommunes/popf014,1960,59.0,,0.6064,,
01001,agesexcommunes/popf1539,1960,57.0,,0.5517,,
01001,agesexcommunes/popf4059,1960,48.0,,0.5891,,
01001,agesexcommunes/popf60p,1960,37.0,,0.4755,,
01001,agesexcommunes/poph,1960,198.0,,0.5486,,
01001,agesexcommunes/poph014,1960,44.0,,0.4879,,
01001,agesexcommunes/poph1539,1960,76.0,,0.6065,,
01001,agesexcommunes/poph4059,1960,39.0,,0.489,,
01001,agesexcommunes/poph60p,1960,39.0,,0.6031,,
01001,agesexcommunes/prop014,1960,0.2581,,0.5115,,
01001,agesexcommunes/prop1539,1960,0.3333,,0.675,,
01001,agesexcommunes/prop4059,1960,0.218,,0.4349,,
01001,agesexcommunes/prop60p,1960,0.1905,,0.4495,,
01001,agesexcommunes/propf,1960,0.5038,,0.5215,,
01001,agesexcommunes/propf014,1960,0.5728,,0.8529,,
01001,agesexcommunes/propf1539,1960,0.4286,,0.241,,
01001,agesexcommunes/propf4059,1960,0.5517,,0.8651,,
01001,agesexcommunes/propf60p,1960,0.4868,,0.1226,,
