dep,feature,annee,raw,lag,rank,delta,pct_change
01,agesexdepartements/age,1960,35.8363,,0.6042,,
01,agesexdepartements/agef,1960,37.4429,,0.625,,
01,agesexdepartements/ageh,1960,34.1755,,0.6042,,
01,agesexdepartements/pop,1851,372939.0,,0.5417,,
01,agesexdepartements/popf,1851,183106.0,,0.5417,,
01,agesexdepartements/popf014,1851,50078.0,,0.5521,,
01,agesexdepartements/popf1539,1851,67682.0,,0.5625,,
01,agesexdepartements/popf4059,1851,48747.0,,0.5729,,
01,agesexdepartements/popf60p,1851,16599.0,,0.3854,,
01,agesexdepartements/poph,1851,189833.0,,0.5521,,
01,agesexdepartements/poph014,1851,55688.0,,0.6354,,
01,agesexdepartements/poph1539,1851,70349.0,,0.5729,,
01,agesexdepartements/poph4059,1851,45588.0,,0.5208,,
01,agesexdepartements/poph60p,1851,18208.0,,0.5,,
01,agesexdepartements/prop014,1851,0.2836,,0.5729,,
01,agesexdepartements/prop1539,1851,0.3701,,0.5938,,
01,agesexdepartements/prop4059,1851,0.253,,0.5417,,
01,agesexdepartements/prop60p,1851,0.0933,,0.2917,,
01,agesexdepartements/propf,1851,0.491,,0.1146,,
01,agesexdepartements/propf014,1851,0.4735,,0.1042,,
01,agesexdepartements/propf1539,1851,0.4903,,0.3229,,
01,agesexdepartements/propf4059,1851,0.5167,,0.6875,,
01,agesexdepartements/propf60p,1851,0.4769,,0.0521,,
