codecommune,feature,annee,raw,lag,rank,delta,pct_change
01001,crimesdelitscommunes/ncambriolages,2016,2.825,,0.8119,,
01001,crimesdelitscommunes/pcrimesdelits,2016,0.0152,,0.4166,,
01001,crimesdelitscommunes/nautresvols,2016,3.91,,0.5808,,
01001,crimesdelitscommunes/nvolsvoitures,2016,1.87,,0.8035,,
01001,crimesdelitscommunes/perviolences,2016,0.2921,,0.4859,,
01001,crimesdelitscommunes/percrimesdelits,2016,0.2607,,0.4166,,
01001,crimesdelitscommunes/pop,2016,771.5,,0.6562,,
01001,crimesdelitscommunes/nviolences,2016,3.1,,0.5154,,
01001,crimesdelitscommunes/percambriolages,2016,0.5402,,0.555,,
01001,crimesdelitscommunes/pviolences,2016,0.004,,0.486,,
01001,crimesdelitscommunes/pvolsvoitures,2016,0.0024,,0.7293,,
01001,crimesdelitscommunes/pervolsvoitures,2016,0.5455,,0.7292,,
01001,crimesdelitscommunes/ncrimesdelits,2016,11.705,,0.6627,,
01001,crimesdelitscommunes/perautresvols,2016,0.1863,,0.37,,
01001,crimesdelitscommunes/pautresvols,2016,0.0051,,0.3701,,
01001,crimesdelitscommunes/pcambriolages,2016,0.0037,,0.5551,,
