codecommune,feature,annee,raw,lag,rank,delta,pct_change
01001,cspcommunes/agri,1960,117.0,,0.8838,,
01001,cspcommunes/aica,1960,117.0,,0.7969,,
01001,cspcommunes/aind,1960,117.0,,0.8014,,
01001,cspcommunes/cadr,1960,0.0,,0.3443,,
01001,cspcommunes/capi,1960,0.0,,0.1001,,
01001,cspcommunes/chom,1960,0.0,,0.4534,,
01001,cspcommunes/empl,1960,13.0,,0.6888,,
01001,cspcommunes/indp,1960,0.0,,0.0634,,
01001,cspcommunes/ouem,1960,49.0,,0.5758,,
01001,cspcommunes/ouvr,1960,36.0,,0.541,,
01001,cspcommunes/pact,1960,166.0,,0.693,,
01001,cspcommunes/pagri,1960,0.7048,,0.8524,,
01001,cspcommunes/paica,1960,0.7048,,0.7626,,
01001,cspcommunes/paind,1960,0.7048,,0.766,,
01001,cspcommunes/pcadr,1960,0.0,,0.3429,,
01001,cspcommunes/pcapi,1960,0.0,,0.0965,,
01001,cspcommunes/pchom,1960,0.0,,0.453,,
01001,cspcommunes/pempl,1960,0.0783,,0.5427,,
01001,cspcommunes/peragri,1790,0.956,,0.8449,,
01001,cspcommunes/peraica,1790,0.9153,,0.7559,,
01001,cspcommunes/peraind,1790,0.9163,,0.7592,,
01001,cspcommunes/percadr,1790,0.1431,,0.3933,,
01001,cspcommunes/percapi,1790,0.0424,,0.1752,,
01001,cspcommunes/perchom,1790,0.037,,0.084,,
01001,cspcommunes/perempl,1790,0.1962,,0.5378,,
01001,cspcommunes/perindp,1790,0.0106,,0.0815,,
01001,cspcommunes/perouem,1790,0.0972,,0.2683,,
01001,cspcommunes/perouvr,1790,0.1115,,0.2316,,
01001,cspcommunes/perpint,1790,0.0171,,0.0675,,
01001,cspcommunes/pindp,1960,0.0,,0.0595,,
01001,cspcommunes/pint,1960,0.0,,0.1219,,
01001,cspcommunes/pouem,1960,0.2952,,0.2707,,
01001,cspcommunes/pouvr,1960,0.2169,,0.2336,,
01001,cspcommunes/ppint,1960,0.0,,0.1185,,
